,Name,Position,Points,Field
0,Christian McCaffrey,RB,32.9,Home
1,Christian McCaffrey,RB,5.3,Home
2,Christian McCaffrey,RB,24.8,Away
3,Christian McCaffrey,RB,23.9,Away
4,Christian McCaffrey,RB,41.7,Home
5,Christian McCaffrey,RB,17.7,Away
6,Christian McCaffrey,RB,23.5,Away
7,Christian McCaffrey,RB,34.6,Home
8,Christian McCaffrey,RB,20.1,Away
9,Christian McCaffrey,RB,19.1,Home
10,Christian McCaffrey,RB,25.3,Away
11,Christian McCaffrey,RB,10.2,Home
12,Christian McCaffrey,RB,13.5,Away
13,Christian McCaffrey,RB,29.5,Home
14,Christian McCaffrey,RB,17.3,Away
15,Christian McCaffrey,RB,15.8,Home
16,Lamar Jackson,QB,33.56,Away
17,Lamar Jackson,QB,30.88,Home
18,Lamar Jackson,QB,21.28,Away
19,Lamar Jackson,QB,24.48,Home
20,Lamar Jackson,QB,11.44,Away
21,Lamar Jackson,QB,30.64,Home
22,Lamar Jackson,QB,23.32,Away
23,Lamar Jackson,QB,28.62,Home
24,Lamar Jackson,QB,33.42,Away
25,Lamar Jackson,QB,32.78,Home
26,Lamar Jackson,QB,36.26,Away
27,Lamar Jackson,QB,22.3,Home
28,Lamar Jackson,QB,19.8,Away
29,Lamar Jackson,QB,37.08,Home
30,Lamar Jackson,QB,29.82,Away
31,Derrick Henry,RB,27.9,Away
32,Derrick Henry,RB,15.4,Home
33,Derrick Henry,RB,10.6,Away
34,Derrick Henry,RB,10.8,Away
35,Derrick Henry,RB,13.8,Home
36,Derrick Henry,RB,3.3,Away
37,Derrick Henry,RB,16.8,Home
38,Derrick Henry,RB,6.3,Home
39,Derrick Henry,RB,21.9,Away
40,Derrick Henry,RB,31.1,Home
41,Derrick Henry,RB,27.5,Home
42,Derrick Henry,RB,20.6,Away
43,Derrick Henry,RB,22.9,Away
44,Derrick Henry,RB,8.6,Home
45,Derrick Henry,RB,39.1,Away
46,Aaron Jones,RB,3.9,Away
47,Aaron Jones,RB,21.0,Home
48,Aaron Jones,RB,14.3,Home
49,Aaron Jones,RB,11.8,Home
50,Aaron Jones,RB,42.2,Away
51,Aaron Jones,RB,4.0,Home
52,Aaron Jones,RB,14.3,Home
53,Aaron Jones,RB,34.6,Away
54,Aaron Jones,RB,2.9,Away
55,Aaron Jones,RB,27.3,Home
56,Aaron Jones,RB,3.8,Away
57,Aaron Jones,RB,3.1,Away
58,Aaron Jones,RB,25.2,Home
59,Aaron Jones,RB,17.1,Home
60,Aaron Jones,RB,26.0,Away
61,Aaron Jones,RB,14.3,Away
62,Ezekiel Elliott,RB,12.3,Home
63,Ezekiel Elliott,RB,18.0,Away
64,Ezekiel Elliott,RB,13.9,Home
65,Ezekiel Elliott,RB,10.5,Away
66,Ezekiel Elliott,RB,15.1,Home
67,Ezekiel Elliott,RB,21.3,Away
68,Ezekiel Elliott,RB,20.7,Home
69,Ezekiel Elliott,RB,13.9,Away
70,Ezekiel Elliott,RB,6.3,Home
71,Ezekiel Elliott,RB,17.3,Away
72,Ezekiel Elliott,RB,12.6,Away
73,Ezekiel Elliott,RB,13.7,Home
74,Ezekiel Elliott,RB,21.3,Away
75,Ezekiel Elliott,RB,28.0,Home
76,Ezekiel Elliott,RB,8.4,Away
77,Ezekiel Elliott,RB,24.4,Home
78,Dalvin Cook,RB,24.0,Home
79,Dalvin Cook,RB,25.1,Away
80,Dalvin Cook,RB,20.3,Home
81,Dalvin Cook,RB,13.0,Away
82,Dalvin Cook,RB,19.8,Away
83,Dalvin Cook,RB,11.4,Home
84,Dalvin Cook,RB,26.9,Away
85,Dalvin Cook,RB,23.1,Home
86,Dalvin Cook,RB,11.6,Away
87,Dalvin Cook,RB,24.3,Away
88,Dalvin Cook,RB,11.7,Home
89,Dalvin Cook,RB,10.4,Away
90,Dalvin Cook,RB,13.5,Home
91,Dalvin Cook,RB,4.3,Away
92,Michael Thomas,WR,12.3,Home
93,Michael Thomas,WR,8.9,Away
94,Michael Thomas,WR,11.4,Away
95,Michael Thomas,WR,9.5,Home
96,Michael Thomas,WR,30.2,Home
97,Michael Thomas,WR,8.9,Away
98,Michael Thomas,WR,13.1,Away
99,Michael Thomas,WR,16.3,Home
100,Michael Thomas,WR,15.2,Home
101,Michael Thomas,WR,17.4,Away
102,Michael Thomas,WR,16.1,Home
103,Michael Thomas,WR,4.8,Away
104,Michael Thomas,WR,19.4,Home
105,Michael Thomas,WR,18.8,Home
106,Michael Thomas,WR,19.6,Away
107,Michael Thomas,WR,3.7,Away
108,Travis Kelce,TE,8.8,Away
109,Travis Kelce,TE,16.7,Away
110,Travis Kelce,TE,8.9,Home
111,Travis Kelce,TE,8.5,Away
112,Travis Kelce,TE,7.0,Home
113,Travis Kelce,TE,5.8,Home
114,Travis Kelce,TE,4.4,Away
115,Travis Kelce,TE,12.3,Home
116,Travis Kelce,TE,6.2,Home
117,Travis Kelce,TE,13.5,Away
118,Travis Kelce,TE,15.2,Away
119,Travis Kelce,TE,9.0,Home
120,Travis Kelce,TE,11.0,Away
121,Travis Kelce,TE,14.2,Home
122,Travis Kelce,TE,13.4,Away
123,Travis Kelce,TE,2.4,Home
124,Nick Chubb,RB,8.5,Home
125,Nick Chubb,RB,15.8,Away
126,Nick Chubb,RB,13.1,Home
127,Nick Chubb,RB,36.3,Away
128,Nick Chubb,RB,9.9,Away
129,Nick Chubb,RB,23.9,Home
130,Nick Chubb,RB,9.8,Away
131,Nick Chubb,RB,9.1,Away
132,Nick Chubb,RB,12.1,Home
133,Nick Chubb,RB,9.2,Home
134,Nick Chubb,RB,22.4,Home
135,Nick Chubb,RB,7.9,Away
136,Nick Chubb,RB,11.7,Home
137,Nick Chubb,RB,20.8,Away
138,Nick Chubb,RB,4.5,Home
139,Nick Chubb,RB,4.2,Away
140,Austin Ekeler,RB,33.4,Home
141,Austin Ekeler,RB,17.3,Away
142,Austin Ekeler,RB,8.1,Home
143,Austin Ekeler,RB,24.2,Away
144,Austin Ekeler,RB,7.3,Home
145,Austin Ekeler,RB,2.8,Home
146,Austin Ekeler,RB,18.5,Away
147,Austin Ekeler,RB,8.2,Away
148,Austin Ekeler,RB,9.3,Home
149,Austin Ekeler,RB,10.8,Away
150,Austin Ekeler,RB,13.2,Home
151,Austin Ekeler,RB,12.7,Away
152,Austin Ekeler,RB,27.3,Away
153,Austin Ekeler,RB,8.1,Home
154,Austin Ekeler,RB,6.9,Home
